slno,rul
0,44
1,51
2,27
3,120
4,101
5,99
6,71
7,55
8,55
9,66
10,77
11,115
12,115
13,31
14,108
15,56
16,136
17,132
18,85
19,56
20,18
21,119
22,78
23,9
24,58
25,11
26,88
27,144
28,124
29,89
30,79
31,55
32,71
33,65
34,87
35,137
36,145
37,22
38,8
39,41
40,131
41,115
42,128
43,69
44,111
45,7
46,137
47,55
48,135
49,11
50,78
51,120
52,87
53,87
54,55
55,93
56,88
57,40
58,49
59,128
60,129
61,58
62,117
63,28
64,115
65,87
66,92
67,103
68,100
69,63
70,35
71,45
72,99
73,117
74,45
75,27
76,86
77,20
78,18
79,133
80,15
81,6
82,145
83,104
84,56
85,25
86,68
87,144
88,41
89,51
90,81
91,14
92,67
93,10
94,127
95,113
96,123
97,17
98,8
99,28
